Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58950674,"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1668604906""","=""9781668604908""",0,4.22,Orbit,Audiobook,,2022,2022,,2023/07/18,,,read,,,,1,0
61398009,Just Like Being There: A Collection of Science Fiction Short Stories (Science and Fiction),Eric Choi,"Choi, Eric",,"=""3030916049""","=""9783030916046""",0,4.80,Springer,Paperback,313,2022,,,2023/07/18,sci-fi,sci-fi (#20),read,,,,1,0
128763238,At the Mountains of Madness and Other Tales of Horror,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",0,4.26,Beagle Books,Mass Market Paperback,,1971,1981,,2023/07/18,,,read,,,,1,0
160149,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"Lovecraft, H.P.",S.T. Joshi,"=""0141182342""","=""9780141182346""",0,4.17,Penguin Classics,Paperback,420,1999,1926,,2023/07/18,,,read,,,,1,0
62873999,Translation State (Imperial Radch),Ann Leckie,"Leckie, Ann",,"=""031628971X""","=""9780316289719""",0,4.31,Orbit,Hardcover,422,2023,2023,,2023/07/18,sci-fi,sci-fi (#19),read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2023/07/18,"sci-fi, cyberpunk, dystopia","sci-fi (#18), cyberpunk (#1), dystopia (#1)",read,,,,1,0
58700918,Terry Pratchett: A Life With Footnotes: The Official Biography,Rob  Wilkins,"Wilkins, Rob",,"=""0857526634""","=""9780857526632""",0,4.71,Doubleday,Hardcover,435,2022,2022,,2023/07/18,"nonfiction, biography","nonfiction (#1), biography (#1)",read,,,,1,0
60321430,Tread of Angels,Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1982166185""","=""9781982166182""",0,3.49,Saga Press,Hardcover,201,2022,2022,,2023/07/18,,,read,,,,1,0
57693308,Spear,Nicola Griffith,"Griffith, Nicola",,"=""1250819326""","=""9781250819321""",0,4.10,Tordotcom,Hardcover,184,2022,2022,,2023/07/18,"temporal-historical-fiction, fantasy, sword-and-sorcery-fantasy","temporal-historical-fiction (#1), fantasy (#1), sword-and-sorcery-fantasy (#2)",read,,,,1,0
56179377,Nettle & Bone,T. Kingfisher,"Kingfisher, T.",,"=""1250244048""","=""9781250244048""",0,4.18,Tor Books,Hardcover,245,2022,2022,,2023/07/18,english-language-learning-track-1-5,english-language-learning-track-1-5 (#14),read,,,,1,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",0,4.02,MCD,Hardcover,456,2022,2022,,2023/07/18,sci-fi,sci-fi (#17),read,,,,1,0
25895521,Illuminations,T. Kingfisher,"Kingfisher, T.",,"=""""","=""9781614505778""",0,4.16,Red Wombat Studio,ebook,270,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#33), bsfa-2023-young-reader (#5)",to-read,,,,0,0
60310739,Unraveller,Frances Hardinge,"Hardinge, Frances",,"=""1419759310""","=""9781419759314""",0,4.17,Harry N. Abrams,Hardcover,432,2023,2023,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#32), bsfa-2023-young-reader (#4)",to-read,,,,0,0
58795554,Mindwalker,Kate Dylan,"Dylan, Kate",,"=""""","=""978152939268""",0,4.12,Hodder Books,,315,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#31), bsfa-2023-young-reader (#3)",to-read,,,,0,0
59088433,"Her Majesty's Royal Coven (Her Majesty's Royal Coven, #1)",Juno Dawson,"Dawson, Juno",,"=""014313714X""","=""9780143137146""",0,3.88,Penguin Books,Paperback,448,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#30), bsfa-2023-young-reader (#2)",to-read,,,,0,0
55923578,"Violet Made of Thorns (Violet Made of Thorns, #1)",Gina Chen,"Chen, Gina",,"=""""","=""""",0,3.61,Delacorte Press,Kindle Edition,364,2022,2022,,2023/05/06,"to-read, bsfa-2023-young-reader","to-read (#29), bsfa-2023-young-reader (#1)",to-read,,,,0,0
40887359,The Shape of a Life: One Mathematician's Search for the Universe's Hidden Geometry,Shing-Tung Yau,"Yau, Shing-Tung",Steve Nadis,"=""0300235909""","=""9780300235906""",0,3.80,Yale University Press,Hardcover,328,2019,,,2023/04/26,,,read,,,,1,0
51733546,Into the Dark (Star Wars: The High Republic),Claudia Gray,"Gray, Claudia",,"=""1368057284""","=""9781368057288""",0,4.02,Disney Lucasfilm Press,Hardcover,425,2021,2021,,2023/04/26,,,read,,,,1,0
61606704,"The Power of Language: How the Codes We Use to Think, Speak, and Live Transform Our Minds",Viorica Marian,"Marian, Viorica",,"=""0593187075""","=""9780593187074""",0,4.25,Dutton,Hardcover,288,2023,,,2023/04/26,,,read,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",0,4.22,Tor,Hardcover,448,2019,2019,,2023/04/26,,,read,,,,1,0
34051373,"Shadowhouse Fall (Shadowshaper Cypher, #2)",Daniel José Older,"Older, Daniel José",,"=""0545952824""","=""9780545952828""",0,4.20,Arthur A. Levine Books,Hardcover,368,2017,2017,,2020/12/31,"young-adult, english-language-learning-track-1-5","young-adult (#47), english-language-learning-track-1-5 (#13)",read,,,,1,0
233674,"The Science of Discworld (The Science of Discworld, #1)",Terry Pratchett,"Pratchett, Terry","Ian Stewart, Jack Cohen","=""0091886570""","=""9780091886578""",0,3.96,Ebury Press,Paperback,416,2002,1999,,2023/04/26,,,read,,,,1,0
60147395,City of Last Chances,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1801108420""","=""9781801108423""",0,4.02,Head of Zeus,Hardcover,512,2022,2022,,2023/04/26,,,read,,,,1,0
123253602,Bishop's Opening,R.S.A. Garcia,"Garcia, R.S.A.",,"=""""","=""""",0,3.19,Clarkesworld Magazine ,,,2022,2022,,2023/04/26,,,read,,,,1,0
61130972,I Never Liked You Anyway,Jordan Kurella,"Kurella, Jordan",,"=""195228323X""","=""9781952283239""",0,3.65,Vernacular Books,Paperback,172,2022,2022,,2023/04/26,,,read,,,,1,0
58724605,High Times in the Low Parliament,Kelly Robson,"Robson, Kelly",,"=""1250823021""","=""9781250823021""",0,3.25,Tor.com,Paperback,160,2022,2022,,2023/04/26,,,read,,,,1,0
59807975,Even Though I Knew the End,C.L. Polk,"Polk, C.L.",,"=""1250849454""","=""9781250849458""",0,3.92,Tordotcom,Hardcover,136,2022,2022,,2023/04/26,,,read,,,,1,0
58438207,"Ogres (Terrible Worlds: Revolutions, #3)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1786185288""","=""9781786185280""",0,4.26,Solaris,Hardcover,159,2022,2022,,2023/04/26,,,read,,,,1,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.35,Orbit,Paperback,416,2017,2017,,2020/12/31,"2021, sci-fi","2021 (#2), sci-fi (#16)",read,,,,1,0
52694527,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""0356514188""","=""9780356514185""",0,4.26,Orbit,Hardcover,480,2021,2021,,2023/04/26,sword-and-sorcery-fantasy,sword-and-sorcery-fantasy (#1),read,,,,1,0
56755560,The Cat Who Saved Books,Sōsuke Natsukawa,"Natsukawa, Sōsuke",Louise Heal Kawai,"=""0063095726""","=""9780063095724""",0,3.72,HarperVia,Hardcover,198,2021,2017,,2023/02/28,,,read,,,,1,0
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217903""","=""9781473217904""",0,4.38,Orion Publishing Co,Paperback,461,2019,2019,,2023/02/28,,,read,,,,1,0
51637946,Light of the Jedi (Star Wars: The High Republic),Charles Soule,"Soule, Charles",,"=""0593157710""","=""9780593157718""",0,3.92,Del Rey,Hardcover,380,2021,2021,,2023/02/28,,,read,,,,1,0
57945316,Babel: An Arcane History,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.25,Harper Voyager,Hardcover,544,2022,2022,,2023/02/28,,,read,,,,1,0
22295304,"Shadowshaper (Shadowshaper Cypher, #1)",Daniel José Older,"Older, Daniel José",,"=""0545591619""","=""9780545591614""",0,3.76,Arthur A. Levine Books,Hardcover,297,2015,2015,,2020/12/31,young-adult,young-adult (#46),read,,,,1,0
58064046,Gallant,V.E. Schwab,"Schwab, V.E.",Manuel Sumberac,"=""0062835777""","=""9780062835772""",0,3.74,Greenwillow Books,Hardcover,338,2022,2022,,2023/02/28,young-adult,young-adult (#75),read,,,,1,0
36295579,Star Wars: The Legends of Luke Skywalker,Ken Liu,"Liu, Ken",J.G. Jones,"=""""","=""""",0,3.44,Disney Lucasfilm Press,Kindle Edition,433,2017,2017,,2023/02/28,children-books,children-books (#7),read,,,,1,0
45046576,Or What You Will,Jo Walton,"Walton, Jo",,"=""1250308992""","=""9781250308993""",0,3.79,Tor Books,Hardcover,320,2020,2020,,2023/02/28,,,read,,,,1,0
50155421,Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum,"Applebaum, Anne",,"=""0771005857""","=""9780771005855""",0,3.92,Signal Books,Hardcover,224,2020,2020,,2023/02/28,,,read,,,,1,0
60784304,The Keeper's Six,Kate Elliott,"Elliott, Kate",,"=""1250769078""","=""9781250769077""",0,3.69,Tordotcom,Hardcover,197,2023,2023,,2023/02/28,,,read,,,,1,0
58245601,"Clarkesworld Magazine, Issue 177, June 2021",Neil Clarke,"Clarke, Neil","Nancy Kress, Robert Reed, Suzanne Palmer, Jiang Bo, Andy Dudak, Yukimi Ogawa, K.W. Colyard, Cristina Jurado, Sue Burke, Carrie Sessarego, Arley Sorg","=""""","=""""",0,4.13,Wyrm Publishing,ebook,199,2021,2021,,2022/12/08,,,read,,,,1,0
36165705,"Clarkesworld Magazine, Issue 132, September 2017",Neil Clarke,"Clarke, Neil","A. Brym, Stephanie M. Bucklin, Chris Urie, Kelly Robson, Eric Schwitzgebel, Suzanne Palmer, Jess Barber, Sara Saab, Gu Shi, S. Qiouyi Lu, Tom Purdom, Geoff Ryman","=""""","=""""",0,4.17,Wyrm Publishing,ebook,142,2017,2017,,2022/12/08,,,read,,,,1,0
12392681,Railsea,China Miéville,"Miéville, China",,"=""0345524527""","=""9780345524522""",5,3.89,Del Rey,Hardcover,424,2012,2012,,2019/11/21,"young-adult, english-language-learning-track","young-adult (#21), english-language-learning-track (#21)",read,,,,1,0
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",0,4.17,William Morrow,Hardcover,937,2008,2008,,2020/12/02,"young-adult, english-language-learning-track","young-adult (#20), english-language-learning-track (#20)",read,,,,1,0
53205853,"Chaos on CatNet (CatNet, #2)",Naomi Kritzer,"Kritzer, Naomi",,"=""1250165229""","=""9781250165220""",0,4.14,Tor Teen,Hardcover,304,2021,2021,,2022/09/28,"young-adult, english-language-learning-track-1-5","young-adult (#64), english-language-learning-track-1-5 (#12)",read,,,,1,0
41556068,"Catfishing on CatNet (CatNet, #1)",Naomi Kritzer,"Kritzer, Naomi",,"=""1250165075""","=""9781250165077""",0,4.05,Tor Teen,ebook,288,2019,2019,,2022/09/28,"young-adult, english-language-learning-track","young-adult (#63), english-language-learning-track (#19)",read,,,,1,0
40864030,"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky  Chambers,"Chambers, Becky",,"=""""","=""""",0,4.44,Tordotcom,Kindle Edition,152,2022,2022,,2022/09/28,english-language-learning-track-1-5,english-language-learning-track-1-5 (#11),read,,,,1,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,"=""""","=""""",5,4.29,Tordotcom,Kindle Edition,160,2021,2021,,2022/05/16,english-language-learning-track,english-language-learning-track (#18),read,,,,1,0
6693,Fantastic Mr. Fox,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0375822070""","=""9780375822070""",5,4.07,Knopf Books for Young Readers,Hardcover,96,2002,1970,2022/01/24,2022/02/07,"children-books, english-language-learning-track","children-books (#6), english-language-learning-track (#17)",read,,,,1,0
56036276,A Snake Falls to Earth,Darcie Little Badger,"Badger, Darcie Little",,"=""""","=""""",4,3.97,Levine Querido,Kindle Edition,377,2021,2021,,2022/05/16,"children-books, english-language-learning-track-1-5","children-books (#5), english-language-learning-track-1-5 (#10)",read,,,,1,0
52854406,"Fangirl, Vol. 1: The Manga",Sam Maggs,"Maggs, Sam","Rainbow Rowell, Gabi Nam","=""1974715876""","=""9781974715879""",0,4.22,VIZ Media LLC,Paperback,216,2020,2020,,2023/01/20,,,read,,,,1,0
6327,The Witches,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0590032496""","=""9780590032490""",0,4.17,Scholastic Inc.,Paperback,208,1997,1983,,2023/01/20,"english-language-learning-track, children-books","english-language-learning-track (#16), children-books (#4)",read,,,,1,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,"=""0593157532""","=""9780593157534""",0,3.82,Ballantine Books,Hardcover,352,2022,2022,,2023/01/20,,,read,,,,1,0
44521,Kiss Kiss,Roald Dahl,"Dahl, Roald",,"=""0140018328""","=""9780140018325""",0,4.08,Penguin Books,Paperback,231,1987,1959,,2023/01/20,,,read,,,,1,0
13058009,To Be A Cat,Matt Haig,"Haig, Matt",,"=""0370332067""","=""9780370332062""",0,4.04,Bodley Head,Hardcover,320,2012,2012,,2023/01/20,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.11,Knopf,Hardcover,259,2022,2022,,2023/01/20,,,read,,,,1,0
18712643,Whispers from the Abyss,Kat Rocha,"Rocha, Kat","Greg Stolze, Alasdair Stuart, J.C. Hemphill, Jonathan Sharp, Mason Ian Bundschuh, Martin Hill Ortiz, Charles Black, Tim Pratt, Greg Van Eekhout, Tim Jeffreys, Nathan Wunner, Corissa Baker, Jason Andrew, David Tallerman, A.C. Wise, Stephen Brown, John R. Fultz, Brandon Barrows, W.B. Stickel, Kelda Crich, Nick Mamatas, Silvia Moreno-Garcia, James Brogden, Lance Axt, Aaron J. French, Lee Finney, Chad Fifer, Nicholas Almand, Dennis Detwiller, Jeff Provine, Sarena Ulibarri, Erica L. Satifka, Josh Finney","=""""","=""B00FU0M3ZU""",0,3.67,01 Publishing,Kindle Edition,282,2013,2013,,2022/03/24,,,read,,,,1,0
54829360,The Daughter of Doctor Moreau,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0593355334""","=""9780593355336""",0,3.60,Del Rey,Hardcover,306,2022,2022,,2023/01/20,,,read,,,,1,0
24044142,Three Moments of an Explosion,China Miéville,"Miéville, China",,"=""110188472X""","=""9781101884720""",0,3.64,Del Rey,Hardcover,382,2015,2009,,2023/01/20,,,read,,,,1,0
13119649,A Little Gold Book of Ghastly Stuff,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,3.59,Borderland Press,Hardcover,158,2011,2011,,2023/01/20,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,3.84,Vintage Books ,Paperback,288,2010,2005,,2023/01/20,,,read,,,,1,0
17290261,The Abominables,Eva Ibbotson,"Ibbotson, Eva",Fiona  Robinson,"=""1419707892""","=""9781419707896""",0,3.77,Harry N. Abrams,Hardcover,272,2013,2012,,2023/01/20,children-books,children-books (#3),read,,,,1,0
623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925509""","=""9780439925501""",0,3.91,Scholastic Press,Hardcover,308,2007,2007,,2023/01/20,"children-books, english-language-learning-track-1-5","children-books (#2), english-language-learning-track-1-5 (#9)",read,,,,1,0
53205854,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,"=""1250765374""","=""9781250765376""",0,4.32,Tor.com,Hardcover,168,2021,2021,,2023/01/20,,,read,,,,1,0
31450908,"Down Among the Sticks and Bones (Wayward Children, #2)",Seanan McGuire,"McGuire, Seanan",,"=""0765392038""","=""9780765392039""",0,4.15,Tordotcom,Hardcover,187,2017,2017,,2023/01/20,,,read,,,,1,0
42147,Voice of Our Shadow,Jonathan Carroll,"Carroll, Jonathan",,"=""0575073675""","=""9780575073678""",0,3.77,Gollancz,Paperback,189,2002,1983,,2023/01/20,,,read,,,,1,0
57693406,The Kaiju Preservation Society,John Scalzi,"Scalzi, John",,"=""0765389126""","=""9780765389121""",0,4.02,Tor Books,Hardcover,264,2022,2022,,2023/01/20,,,read,,,,1,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,4.02,Spectra,Kindle Edition,559,2018,1992,,2019/11/21,in-far-long-future,in-far-long-future (#3),read,,,,1,0
45455952,"30-Second AI & Robotics: 50 key notions, fields, and events in the rise of intelligent machines, each explained in half a minute",Luis de Miranda,"Miranda, Luis de",,"=""178240547X""","=""9781782405474""",0,3.41,Ivy Press,Hardcover,160,2019,2019,2023/01/20,2022/02/07,,,read,,,,1,0
56179333,Even Greater Mistakes: Stories,Charlie Jane Anders,"Anders, Charlie Jane",,"=""1250766508""","=""9781250766502""",0,3.85,Tor Books,Hardcover,352,2021,2021,2023/01/20,2022/07/26,,,read,,,,1,0
60177373,Fairy Tale,Stephen King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.15,Scribner,Hardcover,608,2022,2022,,2023/01/20,,,read,,,,1,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis  Baldree,"Baldree, Travis",,"=""""","=""""",5,4.24,Tor,Kindle Edition,296,2022,2022,,2022/12/08,"english-language-learning-track-1-5, young-adult","english-language-learning-track-1-5 (#8), young-adult (#74)",read,,,,1,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",4,4.17,Harper Voyager,ebook,545,2018,2018,,2022/12/08,sci-fi,sci-fi (#15),read,,,,2,0
58210340,"Only a Monster (Monsters, #1)",Vanessa Len,"Len, Vanessa",,"=""""","=""""",0,3.89,HarperTeen,Hardcover,416,2022,2022,,2022/12/08,bsfa-2023-young-reader,bsfa-2023-young-reader (#6),read,,,,1,0
57850265,How High We Go in the Dark,Sequoia Nagamatsu,"Nagamatsu, Sequoia",,"=""0063072645""","=""9780063072640""",0,3.85,William Morrow,Hardcover,304,2022,2022,,2022/12/08,sci-fi,sci-fi (#14),read,,,,1,0
60420448,When the Angels Left the Old Country,Sacha Lamb,"Lamb, Sacha",,"=""1646141768""","=""9781646141760""",4,4.32,Levine Querido,Hardcover,408,2022,2022,,2022/12/08,young-adult,young-adult (#73),read,,,,1,0
60399181,"The World We Make (Great Cities, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""035651269X""","=""9780356512693""",4,4.14,Orbit,Hardcover,357,2022,2022,,2022/12/08,"sci-fi, young-adult","sci-fi (#13), young-adult (#72)",read,,,,1,0
13055592,Redshirts,John Scalzi,"Scalzi, John",,"=""0765316994""","=""9780765316998""",5,3.86,Tor Books,Hardcover,320,2012,2012,,2019/11/21,"sci-fi, young-adult","sci-fi (#12), young-adult (#71)",read,,,,1,0
122104,"Pay the Piper (A Rock 'n' Roll Fairy Tale, #1)",Jane Yolen,"Yolen, Jane",Adam Stemple,"=""0765350416""","=""9780765350411""",0,3.35,Starscape,Paperback,192,2006,2005,,2020/12/31,"young-adult, english-language-learning-track-1-5","young-adult (#35), english-language-learning-track-1-5 (#7)",read,,,,1,0
59807976,"Into the Riverlands (The Singing Hills Cycle, #3)",Nghi Vo,"Vo, Nghi",,"=""1250851424""","=""9781250851420""",0,4.08,Tordotcom,Hardcover,100,2022,2022,,2022/12/08,,,read,,,,1,0
53265678,"When the Tiger Came Down the Mountain (The Singing Hills Cycle, #2)",Nghi Vo,"Vo, Nghi",,"=""1250786169""","=""9781250786166""",0,4.20,Tor.com,ebook,128,2020,2020,,2022/12/08,,,read,,,,1,0
51190882,"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,"Vo, Nghi",,"=""""","=""""",0,3.98,Tor.com,Kindle Edition,119,2020,2020,,2022/12/08,,,read,,,,1,0
56978100,The Girl Who Fell Beneath the Sea,Axie Oh,"Oh, Axie",Kuri Huang,"=""1250780861""","=""9781250780867""",5,4.14,Feiwel & Friends,Hardcover,325,2022,2022,,2022/12/08,"english-language-learning-track, young-adult","english-language-learning-track (#15), young-adult (#70)",read,,,,1,0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217857""","=""9781473217850""",0,4.49,Gollancz,Hardcover,513,2018,2018,,2022/12/08,,,read,,,,1,0
50892360,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1534437673""","=""9781534437678""",0,4.21,Saga Press,Hardcover,454,2020,2020,,2022/12/08,young-adult,young-adult (#69),read,,,,1,0
55858638,"The Golden Enclaves (The Scholomance, #3)",Naomi Novik,"Novik, Naomi",,"=""0593158369""","=""9780593158364""",0,4.17,Del Rey Books ,ebook,407,2022,2022,,2022/12/08,young-adult,young-adult (#68),read,,,,1,0
41070150,Riverland,Fran Wilde,"Wilde, Fran",,"=""1419733729""","=""9781419733727""",0,3.83,Amulet Books,Hardcover,342,2019,2019,,2022/12/08,"english-language-learning-track-1-5, children-books","english-language-learning-track-1-5 (#6), children-books (#1)",read,,,,1,0
55559887,"The Last Graduate (The Scholomance, #2)",Naomi Novik,"Novik, Naomi",,"=""0593128869""","=""9780593128862""",0,4.29,Del Rey,Hardcover,388,2021,2021,,2022/12/08,young-adult,young-adult (#67),read,,,,1,0
52381770,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,"=""1250229863""","=""9781250229861""",0,4.48,Tor.com,Hardcover,350,2020,2020,,2022/12/08,sci-fi,sci-fi (#11),read,,,,1,0
53205810,"Victories Greater Than Death (Unstoppable, #1)",Charlie Jane Anders,"Anders, Charlie Jane",,"=""1250317312""","=""9781250317315""",0,3.51,Tor Teen,Hardcover,288,2021,2021,,2022/09/28,,,read,,,,1,0
77773,"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,"Willis, Connie",,"=""0553575384""","=""9780553575385""",0,4.11,Bantam Books,Mass Market Paperback,512,1998,1997,,2020/12/31,2021,2021 (#10),read,,,,1,0
50158128,"Raybearer (Raybearer, #1)",Jordan Ifueko,"Ifueko, Jordan",,"=""1419739824""","=""9781419739828""",0,4.36,Amulet Books,Hardcover,368,2020,2020,,2020/12/31,young-adult,young-adult (#29),read,,,,1,0
55624056,"Redemptor (Raybearer, #2)",Jordan Ifueko,"Ifueko, Jordan",,"=""""","=""""",0,4.26,Amulet Books,Kindle Edition,336,2021,2021,,2022/09/28,young-adult,young-adult (#66),read,,,,1,0
32802595,"Record of a Spaceborn Few (Wayfarers, #3)",Becky  Chambers,"Chambers, Becky",,"=""1473647606""","=""9781473647602""",0,4.11,Hodder & Stoughton,Hardcover,359,2018,2018,,2022/09/28,,,read,,,,1,0
44081573,"Finna (LitenVerse, #1)",Nino Cipri,"Cipri, Nino",,"=""""","=""""",0,3.71,Tor.com,Kindle Edition,92,2020,2020,,2022/09/28,,,read,,,,1,0
53261640,"Defekt (LitenVerse, #2)",Nino Cipri,"Cipri, Nino",,"=""""","=""""",0,4.13,Tor.com,Kindle Edition,170,2021,2021,,2022/09/28,young-adult,young-adult (#65),read,,,,1,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""""","=""""",0,3.89,Tor Books,Kindle Edition,416,2021,2021,,2022/09/20,,,read,,,,1,0
50209317,"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky  Chambers,"Chambers, Becky",,"=""0062936050""","=""9780062936059""",0,4.42,Harper Voyager,ebook,336,2021,2021,,2022/09/20,sci-fi,sci-fi (#10),read,,,,1,0
56179360,Light from Uncommon Stars,Ryka Aoki,"Aoki, Ryka",,"=""1250789060""","=""9781250789068""",0,4.09,Tor Books,Hardcover,372,2021,2021,,2022/09/20,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.52,Ballantine Books,Hardcover,476,2021,2021,,2022/09/20,sci-fi,sci-fi (#9),read,,,,1,0
59485637,The Secret Garden,Maud Begon,"Begon, Maud",,"=""""","=""9791032812587""",0,4.17,Europe Comics,Paperback,96,2021,,2021/12/30,2022/01/01,,,read,,,,1,0
7163862,Zoo City,Lauren Beukes,"Beukes, Lauren",,"=""0007327684""","=""9780007327683""",0,3.63,Angry Robot,Paperback,416,2010,2010,,2022/04/28,,,read,,,,1,0
29475447,"A Closed and Common Orbit (Wayfarers, #2)",Becky  Chambers,"Chambers, Becky",,"=""1473621445""","=""9781473621442""",0,4.36,Hodder & Stoughton,Hardcover,365,2016,2016,,2022/07/05,,,read,,,,2,0
22733729,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,"Chambers, Becky",,"=""1500453307""","=""9781500453305""",0,4.18,CreateSpace Independent Publishing Platform ,Paperback,518,2014,2014,,2022/07/05,,,read,,,,1,0
61172532,Where Oaken Hearts Do Gather,Sarah Pinsker,"Pinsker, Sarah",,"=""""","=""""",5,4.26,Uncanny Magazine,Magazine,15,2021,,,2022/07/05,"2021_ya, young-adult","2021_ya (#18), young-adult (#62)",read,,,,1,0
53175322,Root Magic,Eden Royce,"Royce, Eden",,"=""0062899570""","=""9780062899576""",0,4.20,Walden Pond Press,Hardcover,352,2021,2021,,2022/07/05,"2021_ya, young-adult","2021_ya (#17), young-adult (#61)",read,,,,1,0
59365584,Zachary Ying and the Dragon Emperor (Zachary Ying #1),Xiran Jay Zhao,"Zhao, Xiran Jay",,"=""1665900709""","=""9781665900706""",0,4.13,Margaret K. McElderry Books,Hardcover,340,2022,2022,,2022/07/05,"2021_ya, young-adult, english-language-learning-track-1-5, bsfa-2023-young-reader","2021_ya (#16), young-adult (#60), english-language-learning-track-1-5 (#5), bsfa-2023-young-reader (#7)",read,,,,1,0
